Node1	Node2	Net
MOL005001	AR	target
MOL005001	PTGS2	target
MOL005001	KDR	target
MOL005001	HSP90AA1	target
MOL005001	CCNA2	target
MOL005003	NOS2	target
MOL005003	PTGS1	target
MOL005003	ESR1	target
MOL005003	AR	target
MOL005003	PPARG	target
MOL005003	PTGS2	target
MOL005003	RXRA	target
MOL005003	ADRB2	target
MOL005003	ESR2	target
MOL005003	MAPK14	target
MOL005003	GSK3B	target
MOL005003	HSP90AA1	target
MOL005003	CDK2	target
MOL005003	RXRB	target
MOL005003	CCNA2	target
MOL005007	NOS2	target
MOL005007	PTGS1	target
MOL005007	ESR1	target
MOL005007	AR	target
MOL005007	PPARG	target
MOL005007	PTGS2	target
MOL005007	F7	target
MOL005007	KDR	target
MOL005007	ESR2	target
MOL005007	PPARD	target
MOL005007	GSK3B	target
MOL005007	HSP90AA1	target
MOL005007	CDK2	target
MOL005007	CCNA2	target
MOL005008	NOS2	target
MOL005008	ESR1	target
MOL005008	AR	target
MOL005008	PTGS2	target
MOL005008	F7	target
MOL005008	ESR2	target
MOL005008	DPP4	target
MOL005008	GSK3B	target
MOL005008	HSP90AA1	target
MOL005008	CDK2	target
MOL005008	CCNA2	target
MOL005012	NOS2	target
MOL005012	ESR1	target
MOL005012	AR	target
MOL005012	PPARG	target
MOL005012	PTGS2	target
MOL005012	ESR2	target
MOL005012	DPP4	target
MOL005012	MAPK14	target
MOL005012	GSK3B	target
MOL005012	CDK2	target
MOL005012	CCNA2	target
MOL005016	NOS2	target
MOL005016	PTGS1	target
MOL005016	ESR1	target
MOL005016	AR	target
MOL005016	PPARG	target
MOL005016	PTGS2	target
MOL005016	RXRA	target
MOL005016	ESR2	target
MOL005016	DPP4	target
MOL005016	MAPK14	target
MOL005016	GSK3B	target
MOL005016	HSP90AA1	target
MOL005016	CDK2	target
MOL005016	CCNA2	target
MOL005017	ESR1	target
MOL005017	AR	target
MOL005017	PPARG	target
MOL005017	PTGS2	target
MOL005017	KDR	target
MOL005017	MAPK14	target
MOL005017	GSK3B	target
MOL005017	HSP90AA1	target
MOL005017	CDK2	target
MOL005017	CCNA2	target
MOL005018	NOS2	target
MOL005018	ESR1	target
MOL005018	PTGS2	target
MOL005018	ESR2	target
MOL005020	NOS2	target
MOL005020	ESR1	target
MOL005020	AR	target
MOL005020	PPARG	target
MOL005020	PTGS2	target
MOL005020	ADRB2	target
MOL005020	ESR2	target
MOL005020	MAPK14	target
MOL005020	HSP90AA1	target
MOL005020	CDK2	target
MOL005020	CCNA2	target
MOL000098	PTGS1	target
MOL000098	AR	target
MOL000098	PPARG	target
MOL000098	PTGS2	target
MOL000098	HSP90AA1	target
MOL000098	DPP4	target
MOL000098	AKR1B1	target
MOL000098	ADRB2	target
MOL000098	MMP3	target
MOL000098	F7	target
MOL000098	RXRA	target
MOL000098	RELA	target
MOL000098	EGFR	target
MOL000098	AKT1	target
MOL000098	CCND1	target
MOL000098	BCL2	target
MOL000098	BCL2L1	target
MOL000098	FOS	target
MOL000098	CDKN1A	target
MOL000098	BAX	target
MOL000098	CASP9	target
MOL000098	PLAU	target
MOL000098	MMP2	target
MOL000098	MMP9	target
MOL000098	MAPK1	target
MOL000098	IL10	target
MOL000098	EGF	target
MOL000098	RB1	target
MOL000098	TNF	target
MOL000098	IL6	target
MOL000098	CASP3	target
MOL000098	TP53	target
MOL000098	NFKBIA	target
MOL000098	ODC1	target
MOL000098	CASP8	target
MOL000098	SOD1	target
MOL000098	PRKCA	target
MOL000098	MMP1	target
MOL000098	HIF1A	target
MOL000098	STAT1	target
MOL000098	HSPA5	target
MOL000098	HMOX1	target
MOL000098	CYP3A4	target
MOL000098	CYP1A2	target
MOL000098	CAV1	target
MOL000098	MYC	target
MOL000098	F3	target
MOL000098	GJA1	target
MOL000098	CYP1A1	target
MOL000098	ICAM1	target
MOL000098	IL1B	target
MOL000098	CCL2	target
MOL000098	SELE	target
MOL000098	VCAM1	target
MOL000098	PTGER3	target
MOL000098	CXCL8	target
MOL000098	PRKCB	target
MOL000098	BIRC5	target
MOL000098	NOS3	target
MOL000098	HSPB1	target
MOL000098	SULT1E1	target
MOL000098	IL2RA	target
MOL000098	NR1I2	target
MOL000098	CYP1B1	target
MOL000098	PLAT	target
MOL000098	THBD	target
MOL000098	SERPINE1	target
MOL000098	COL1A1	target
MOL000098	IFNG	target
MOL000098	ALOX5	target
MOL000098	IL1A	target
MOL000098	MPO	target
MOL000098	NCF1	target
MOL000098	ABCG2	target
MOL000098	HAS2	target
MOL000098	GSTP1	target
MOL000098	NFE2L2	target
MOL000098	NQO1	target
MOL000098	PARP1	target
MOL000098	AHR	target
MOL000098	SLC2A4	target
MOL000098	COL3A1	target
MOL000098	CXCL11	target
MOL000098	CXCL2	target
MOL000098	INSR	target
MOL000098	PPARA	target
MOL000098	PPARD	target
MOL000098	HSF1	target
MOL000098	CXCL10	target
MOL000098	CHUK	target
MOL000098	SPP1	target
MOL000098	RUNX2	target
MOL000098	E2F1	target
MOL000098	CTSD	target
MOL000098	IGFBP3	target
MOL000098	IGF2	target
MOL000098	CD40LG	target
MOL000098	IRF1	target
