ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0007159	leukocyte cell-cell adhesion	26/149	439/18860	0.0592255125284738	7.49659843145648	12.2903895094636	9.30775708729844e-16	6.13573256881752e-14	2.59559675500436e-14	CASP3/DPP4/RELA/OLR1/IL4/AKT1/TNF/ICAM1/SELE/VCAM1/ALOX5/HAS2/MAPK3/BAD/PPARA/IL10/IL6/CAV1/IL1B/CCL2/IL2RA/IFNG/IL1A/IGF2/CD40LG/IRF1	26
BP	GO:0062012	regulation of small molecule metabolic process	24/149	360/18860	0.0666666666666667	8.43847874720358	12.7160866248851	9.5177845207263e-16	6.17614986165255e-14	2.61269446794279e-14	PTGS2/PPARG/PPARD/IL4/AKT1/TNF/INSR/MAPK1/LDLR/APOB/PPARA/SREBF1/ADIPOQ/CES1/STAT3/TP53/HIF1A/CAV1/IL1B/IFNG/PARP1/IGFBP3/IGF2/APP	24
BP	GO:0062013	positive regulation of small molecule metabolic process	18/149	167/18860	0.107784431137725	13.6430494715267	14.6444995483975	1.14282171677735e-15	7.19111907541871e-14	3.04205653158118e-14	PTGS2/PPARG/PPARD/IL4/AKT1/TNF/INSR/MAPK1/PPARA/SREBF1/ADIPOQ/CES1/STAT3/HIF1A/IL1B/IFNG/IGF2/APP	18
BP	GO:2001236	regulation of extrinsic apoptotic signaling pathway	18/149	167/18860	0.107784431137725	13.6430494715267	14.6444995483975	1.14282171677735e-15	7.19111907541871e-14	3.04205653158118e-14	BCL2/GSK3B/AR/RELA/AKT1/TNF/HMOX1/ICAM1/GSTP1/BCL2L1/CAV1/IL1B/NOS3/SERPINE1/IL1A/CD40LG/APP/MCL1	18
BP	GO:0060326	cell chemotaxis	23/149	330/18860	0.0696969696969697	8.82204596298556	12.7921513446278	1.52742485210283e-15	9.46775434445232e-14	4.0051407355218e-14	KDR/DPP4/F7/VCAM1/ALOX5/GSTP1/MAPK3/MAPK1/CYP19A1/ABCC1/MMP2/IL10/IL6/IL1B/CCL2/CXCL8/HSPB1/SERPINE1/CXCL11/CXCL2/CXCL10/APP/MET	23
BP	GO:0042060	wound healing	26/149	453/18860	0.0573951434878587	7.26491547772494	12.0441672057161	1.97067437384305e-15	1.20356039331915e-13	5.09141722901556e-14	SLC6A4/PRKCA/PLAU/PPARG/KDR/MAPK14/PPARD/F7/TNF/HMOX1/ALOX5/PPARA/CDKN1A/IL6/HIF1A/CAV1/F3/NOS3/HSPB1/PLAT/THBD/SERPINE1/IL1A/NFE2L2/COL3A1/CD40LG	26
BP	GO:0006869	lipid transport	26/149	461/18860	0.0563991323210412	7.13884319177743	11.9081379786777	2.98940683112129e-15	1.79927631444156e-13	7.61147216039884e-14	PTGS2/PON1/RXRA/NOS2/PPARG/PPARD/AKT1/MAPK3/LDLR/MTTP/APOB/CYP19A1/PPARA/ABCC1/ADIPOQ/SOAT2/CES1/SOAT1/EGF/NFKBIA/CAV1/IL1B/ABCG2/SPP1/PTGES/DRD2	26
BP	GO:2000630	positive regulation of miRNA metabolic process	13/149	65/18860	0.2	25.3154362416107	17.5235278848884	3.16741198867628e-15	1.84803747234765e-13	7.81774631236325e-14	PPARG/AR/RELA/TNF/SREBF1/STAT3/EGFR/FOS/IL10/IL6/TP53/HIF1A/MYC	13
BP	GO:0042542	response to hydrogen peroxide	15/149	103/18860	0.145631067961165	18.4335700788428	15.8316879112151	3.20391760195115e-15	1.84803747234765e-13	7.81774631236325e-14	BCL2/CASP3/RELA/STAT1/HMOX1/CYP1B1/SOD1/CAT/MMP2/IL6/COL1A1/NFE2L2/HSF1/MDM2/PCNA	15
BP	GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	15/149	103/18860	0.145631067961165	18.4335700788428	15.8316879112151	3.20391760195115e-15	1.84803747234765e-13	7.81774631236325e-14	BCL2/GSK3B/AR/RELA/AKT1/TNF/HMOX1/ICAM1/GSTP1/BCL2L1/IL1B/NOS3/SERPINE1/IL1A/MCL1	15
BP	GO:0045471	response to ethanol	16/149	128/18860	0.125	15.8221476510067	15.0150924490768	4.44557806480219e-15	2.52910763056486e-13	1.06988749677792e-13	CASP8/PRKCA/RELA/TNF/VCAM1/GSTP1/SLC2A4/SOD1/CAT/PPARA/SREBF1/ADIPOQ/STAT3/CCND1/FOS/DRD2	16
BP	GO:0050878	regulation of body fluid levels	24/149	389/18860	0.0616966580976864	7.80938907196218	12.109932181673	5.37464944522422e-15	3.01634042513732e-13	1.27600141167557e-13	SLC6A4/PRKCA/AKR1B1/PLAU/MAPK14/F7/HAS2/PPARA/CCND1/FOSL2/IL6/HIF1A/CAV1/F3/NOS3/HSPB1/PLAT/THBD/SERPINE1/NFE2L2/COL3A1/CD40LG/HK2/DRD2	24
BP	GO:0006935	chemotaxis	26/149	474/18860	0.0548523206751055	6.9430521337751	11.6938911780065	5.78138230284695e-15	3.17620110020278e-13	1.3436272158968e-13	PLAU/KDR/MAPK14/DPP4/F7/VCAM1/ALOX5/GSTP1/MAPK3/MAPK1/CYP19A1/ABCC1/MMP2/IL10/IL6/F3/IL1B/CCL2/CXCL8/HSPB1/SERPINE1/CXCL11/CXCL2/CXCL10/APP/MET	26
BP	GO:0071453	cellular response to oxygen levels	18/149	183/18860	0.0983606557377049	12.4502145450545	13.8895947514592	5.81245566133906e-15	3.17620110020278e-13	1.3436272158968e-13	PTGS2/BCL2/PPARG/CCNA2/PPARD/AKT1/SLC2A4/BAD/STAT3/FOS/TP53/HIF1A/CAV1/MYC/NFE2L2/E2F1/MDM2/DRD2	18
BP	GO:0042330	taxis	26/149	476/18860	0.0546218487394958	6.91387964581806	11.6616477126564	6.38689637927753e-15	3.44477670949865e-13	1.45724265987891e-13	PLAU/KDR/MAPK14/DPP4/F7/VCAM1/ALOX5/GSTP1/MAPK3/MAPK1/CYP19A1/ABCC1/MMP2/IL10/IL6/F3/IL1B/CCL2/CXCL8/HSPB1/SERPINE1/CXCL11/CXCL2/CXCL10/APP/MET	26
BP	GO:0080164	regulation of nitric oxide metabolic process	13/149	69/18860	0.188405797101449	23.8478747203579	16.9667778260479	7.25726329290959e-15	3.86402749428891e-13	1.6345981694826e-13	PTGS2/HSP90AA1/ESR1/AKT1/TNF/STAT1/INSR/IL10/HIF1A/CAV1/IL1B/IFNG/APP	13
BP	GO:0070661	leukocyte proliferation	23/149	356/18860	0.0646067415730337	8.17773923535179	12.2006742164084	7.82351991718045e-15	4.11279471089246e-13	1.73983407618577e-13	BCL2/BAX/CASP3/IL4/VCAM1/GSTP1/AHR/MAPK3/MAPK1/FOSL2/BCL2L1/CDKN1A/IL10/IL6/TP53/MYC/IL1B/IL2RA/IL1A/IGF2/CD40LG/IRF1/CTNNB1	23
BP	GO:1903037	regulation of leukocyte cell-cell adhesion	24/149	401/18860	0.0598503740648379	7.57569164337479	11.8771845846092	1.05395911774594e-14	5.4713652699986e-13	2.31454969410259e-13	CASP3/DPP4/RELA/IL4/AKT1/TNF/SELE/VCAM1/ALOX5/HAS2/MAPK3/BAD/PPARA/IL10/IL6/CAV1/IL1B/CCL2/IL2RA/IFNG/IL1A/IGF2/CD40LG/IRF1	24
BP	GO:0045766	positive regulation of angiogenesis	18/149	191/18860	0.0942408376963351	11.9287395902878	13.5465966094445	1.23591910067572e-14	6.33675558655094e-13	2.68063545032849e-13	PRKCA/KDR/HMOX1/CYP1B1/STAT3/IL10/HIF1A/F3/IL1B/CXCL8/PRKCB/NOS3/HSPB1/SERPINE1/IL1A/NFE2L2/HK2/CTNNB1	18
BP	GO:0050679	positive regulation of epithelial cell proliferation	19/149	222/18860	0.0855855855855856	10.8331821754641	13.151487721876	1.28349771578262e-14	6.50044635810393e-13	2.74988149889755e-13	PRKCA/KDR/AR/AKT1/TNF/HMOX1/HAS2/BAD/STAT3/CCND1/EGFR/IL10/EGF/HIF1A/MYC/F3/RUNX2/IGF2/CTNNB1	19
BP	GO:1904018	positive regulation of vasculature development	18/149	195/18860	0.0923076923076923	11.684047496128	13.3826796978	1.77856412407022e-14	8.89924916537786e-13	3.76464619286392e-13	PRKCA/KDR/HMOX1/CYP1B1/STAT3/IL10/HIF1A/F3/IL1B/CXCL8/PRKCB/NOS3/HSPB1/SERPINE1/IL1A/NFE2L2/HK2/CTNNB1	18
BP	GO:0043122	regulation of canonical NF-kappaB signal transduction	22/149	332/18860	0.0662650602409639	8.38764453788308	12.1189425518809	1.8814106309066e-14	9.30178375018464e-13	3.9349302543648e-13	CASP8/ESR1/RELA/IKBKB/TNF/STAT1/HMOX1/GSTP1/INSR/ADIPOQ/STAT3/NFKBIA/CAV1/GJA1/IL1B/PRKCB/HSPB1/IL1A/PARP1/CHUK/CD40LG/XIAP	22
BP	GO:0036294	cellular response to decreased oxygen levels	17/149	167/18860	0.101796407185629	12.8851022786641	13.7665659969562	1.93640953133671e-14	9.46106915722514e-13	4.0023127031591e-13	PTGS2/BCL2/PPARG/CCNA2/PPARD/AKT1/SLC2A4/BAD/STAT3/FOS/TP53/HIF1A/MYC/NFE2L2/E2F1/MDM2/DRD2	17
BP	GO:0016125	sterol metabolic process	17/149	169/18860	0.100591715976331	12.7326158611652	13.6718064108698	2.36364404869511e-14	1.14142020165474e-12	4.82854579837472e-13	PON1/PPARD/IL4/AKT1/CYP3A4/CYP1A2/CYP1B1/MAPK1/LDLR/CAT/APOB/HMGCR/CYP19A1/SREBF1/SOAT2/CES1/SOAT1	17
BP	GO:1901654	response to ketone	19/149	232/18860	0.0818965517241379	10.3662346679009	12.8094321484697	2.87380589584116e-14	1.3718294121182e-12	5.80324505766351e-13	CASP9/PRKCA/AR/F7/RELA/NCF1/AKT1/CYP1A1/AHR/SREBF1/CCND1/CDK4/BCL2L1/FOS/CAV1/PARP1/HSF1/SPP1/PCNA	19
BP	GO:0048511	rhythmic process	21/149	302/18860	0.0695364238410596	8.80172452108983	12.1964225614283	3.00396467608533e-14	1.41766651133891e-12	5.99714957462491e-13	SLC6A4/CASP3/ESR1/NOS2/PPARG/GSK3B/F7/TNF/MAPK8/HAS2/AHR/MTTP/PPARA/SREBF1/ADIPOQ/MMP2/TP53/NOS3/PARP1/PCNA/DRD2	21
BP	GO:1904407	positive regulation of nitric oxide metabolic process	11/149	45/18860	0.244444444444444	30.9410887397465	17.9442660247972	4.15145785189936e-14	1.93719151224023e-12	8.19489432858668e-13	PTGS2/HSP90AA1/ESR1/AKT1/TNF/STAT1/INSR/HIF1A/IL1B/IFNG/APP	11
BP	GO:0002532	production of molecular mediator involved in inflammatory response	15/149	128/18860	0.1171875	14.8332634228188	14.013335587839	8.77124289282959e-14	4.04744130376903e-12	1.71218764773481e-12	PRKCA/NOS2/MAPK14/RELA/NCF1/IKBKB/TNF/HMOX1/ALOX5/PPARA/STAT3/IL6/NFKBIA/HIF1A/SERPINE1	15
BP	GO:0007249	canonical NF-kappaB signal transduction	22/149	359/18860	0.0612813370473538	7.75681890411471	11.5344228077144	9.29936929730908e-14	4.24398688920051e-12	1.79533225647297e-12	CASP8/ESR1/RELA/IKBKB/TNF/STAT1/HMOX1/GSTP1/INSR/ADIPOQ/STAT3/NFKBIA/CAV1/GJA1/IL1B/PRKCB/HSPB1/IL1A/PARP1/CHUK/CD40LG/XIAP	22
BP	GO:0045428	regulation of nitric oxide biosynthetic process	12/149	65/18860	0.184615384615385	23.3680949922561	16.1201276602169	1.06123374917865e-13	4.7905475655858e-12	2.02654362400362e-12	PTGS2/HSP90AA1/ESR1/AKT1/TNF/STAT1/INSR/IL10/CAV1/IL1B/IFNG/APP	12
BP	GO:0043200	response to amino acid	15/149	130/18860	0.115384615384615	14.60505937016	13.8901582559018	1.10704967736747e-13	4.94363151624421e-12	2.09130267292169e-12	CASP3/F7/RELA/TNF/GSTP1/MMP3/EGFR/BCL2L1/MMP2/COL1A1/NFE2L2/COL3A1/HSF1/CHUK/PCNA	15
BP	GO:0044703	multi-organism reproductive process	18/149	217/18860	0.0829493087557604	10.4994896854607	12.5596115560791	1.1451400549599e-13	5.05932622154091e-12	2.1402449627414e-12	PTGS2/BCL2/ESR1/AR/PPARD/AKT1/CYP1A1/SOD1/RXRB/FOS/MMP2/MMP9/GJA1/IL1B/THBD/PARP1/HSF1/SPP1	18
BP	GO:0035094	response to nicotine	11/149	49/18860	0.224489795918367	28.4152855773182	17.1470272307069	1.1599506940568e-13	5.07081603412412e-12	2.14510549405076e-12	BCL2/CASP3/RELA/TNF/HMOX1/VCAM1/MAPK1/BAD/PPARA/MMP2/DRD2	11
BP	GO:0032869	cellular response to insulin stimulus	18/149	219/18860	0.0821917808219178	10.4036039349085	12.4906703949676	1.34201638035916e-13	5.80561877878293e-12	2.45594883642483e-12	PPARG/GSK3B/RELA/AKT1/STAT1/GSTP1/SLC2A4/INSR/MAPK3/MAPK1/SREBF1/ADIPOQ/RB1/IL1B/PRKCB/PARP1/CTSD/IGF2	18
BP	GO:0071456	cellular response to hypoxia	16/149	159/18860	0.10062893081761	12.7373264108733	13.2629244104577	1.41443915319537e-13	6.05584103424779e-12	2.56180026769731e-12	PTGS2/BCL2/PPARG/CCNA2/PPARD/SLC2A4/BAD/STAT3/FOS/TP53/HIF1A/MYC/NFE2L2/E2F1/MDM2/DRD2	16
BP	GO:1904646	cellular response to amyloid-beta	11/149	50/18860	0.22	27.8469798657718	16.9625056984503	1.47713560343149e-13	6.25973893984796e-12	2.64805512580791e-12	ADRB2/GSK3B/TNF/ICAM1/VCAM1/APOB/ABCC1/BACE1/GJA1/PARP1/APP	11
BP	GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress	12/149	67/18860	0.17910447761194	22.6705399178604	15.8567084603521	1.55891832318875e-13	6.48333576337539e-12	2.74264321012674e-12	BCL2/AKT1/CYP1B1/SOD1/MMP2/IL10/HIF1A/HSPB1/NFE2L2/PARP1/CTNNB1/MCL1	12
BP	GO:0001890	placenta development	16/149	160/18860	0.1	12.6577181208054	13.2146815892933	1.56112106028784e-13	6.48333576337539e-12	2.74264321012674e-12	PTGS2/CASP8/PPARG/MAPK14/PPARD/AKT1/MAPK1/SOD1/RXRB/EGFR/IL10/HIF1A/PARP1/HSF1/SPP1/IGF2	16
BP	GO:0001503	ossification	24/149	455/18860	0.0527472527472527	6.67659856921602	10.937798941533	1.67552650222117e-13	6.88956590467775e-12	2.91449060157075e-12	ADRB2/BCL2/RXRA/PPARG/MAPK14/GSK3B/AKT1/TNF/ALOX5/MAPK3/MAPK1/CAT/RXRB/FOSL2/EGFR/MMP2/IL6/HIF1A/COL1A1/SPP1/RUNX2/IGFBP3/IGF2/CTNNB1	24
BP	GO:0097237	cellular response to toxic substance	15/149	134/18860	0.111940298507463	14.1690874486627	13.6517880272219	1.74279547202457e-13	7.09591136795886e-12	3.0017808491321e-12	PTGS1/PTGS2/TNF/GSTP1/GSTM1/GSTM2/SOD1/CAT/GSR/NOS3/MPO/ABCG2/NFE2L2/NQO1/PTGES	15
BP	GO:0051223	regulation of protein transport	24/149	458/18860	0.0524017467248908	6.63286539081504	10.8901425310423	1.93181294220747e-13	7.78914480484236e-12	3.29503914209941e-12	HSP90AA1/PRKCA/RXRA/NOS2/PPARG/MAPK14/GSK3B/PPARD/TNF/ALOX5/BAD/HMGCR/SREBF1/ADIPOQ/IL6/NFKBIA/HIF1A/IL1B/PRKCB/IFNG/IL1A/MDM2/APP/DRD2	24
BP	GO:0043525	positive regulation of neuron apoptotic process	12/149	69/18860	0.173913043478261	22.0134228187919	15.6045181748818	2.26083268007714e-13	9.02811357726958e-12	3.81915965895622e-12	BAX/CASP9/CASP3/CASP8/GSK3B/TNF/BACE1/MMP2/TP53/CTNNB1/APP/MCL1	12
BP	GO:0044706	multi-multicellular organism process	18/149	227/18860	0.079295154185022	10.0369571001981	12.2235603853687	2.49121986086418e-13	9.80831786599043e-12	4.14920920028338e-12	PTGS2/BCL2/ESR1/AR/PPARD/AKT1/CYP1A1/SOD1/RXRB/FOS/MMP2/MMP9/GJA1/IL1B/THBD/PARP1/HSF1/SPP1	18
BP	GO:0010506	regulation of autophagy	22/149	377/18860	0.0583554376657825	7.38646680789703	11.1776129676139	2.50344737248973e-13	9.80831786599043e-12	4.14920920028338e-12	ADRB2/BCL2/CASP3/KDR/GSK3B/IL4/AKT1/MAPK8/HMOX1/MAPK3/BAD/SREBF1/STAT3/BCL2L1/IL10/TP53/HIF1A/HSPB1/IFNG/HK2/MCL1/MET	22
BP	GO:0007565	female pregnancy	17/149	197/18860	0.0862944162436548	10.9229039621163	12.4935292588338	3.00075573596618e-13	1.15390171958033e-11	4.88134631903271e-12	PTGS2/BCL2/ESR1/AR/PPARD/AKT1/SOD1/RXRB/FOS/MMP2/MMP9/GJA1/IL1B/THBD/PARP1/HSF1/SPP1	17
BP	GO:0048771	tissue remodeling	17/149	197/18860	0.0862944162436548	10.9229039621163	12.4935292588338	3.00075573596618e-13	1.15390171958033e-11	4.88134631903271e-12	ADRB2/BAX/PRKCA/PPARG/CYP1A1/FOSL2/MMP2/IL6/TP53/HIF1A/CAV1/GJA1/NOS3/IL1A/SPP1/CTNNB1/MDM2	17
BP	GO:0048144	fibroblast proliferation	14/149	114/18860	0.12280701754386	15.5445661132698	13.8996176704195	3.15434653004454e-13	1.20183496690596e-11	5.08411816382843e-12	BAX/ESR1/CCNA2/GSTP1/CDK4/FOSL2/EGFR/CDKN1A/TP53/CAV1/MYC/COL3A1/E2F1/CTNNB1	14
BP	GO:0033273	response to vitamin	13/149	92/18860	0.141304347826087	17.8859060402685	14.4881605424674	3.59123448655793e-13	1.34363935339415e-11	5.6839927530253e-12	RXRA/PPARD/F7/RELA/CYP1A1/GSTP1/CAT/RXRB/CCND1/COL1A1/CXCL10/SPP1/MDM2	13
BP	GO:0034644	cellular response to UV	13/149	92/18860	0.141304347826087	17.8859060402685	14.4881605424674	3.59123448655793e-13	1.34363935339415e-11	5.6839927530253e-12	BAX/CASP9/MAPK14/MMP1/MMP3/CDKN1A/MMP2/MMP9/TP53/MYC/PARP1/MDM2/PCNA	13
BP	GO:0022409	positive regulation of cell-cell adhesion	21/149	343/18860	0.0612244897959184	7.74962333926859	11.2575853855333	3.62502631169214e-13	1.34417270289799e-11	5.68624897952461e-12	DPP4/RELA/IL4/AKT1/TNF/SELE/VCAM1/ALOX5/HAS2/BAD/IL10/IL6/CAV1/IL1B/CCL2/IL2RA/IFNG/IL1A/IGF2/CD40LG/CTNNB1	21
BP	GO:0048145	regulation of fibroblast proliferation	13/149	94/18860	0.138297872340426	17.5053548479223	14.3155125332068	4.7800626117528e-13	1.75677876341676e-11	7.43169492223142e-12	BAX/ESR1/CCNA2/GSTP1/CDK4/FOSL2/EGFR/CDKN1A/TP53/CAV1/MYC/E2F1/CTNNB1	13
BP	GO:0001101	response to acid chemical	15/149	144/18860	0.104166666666667	13.1851230425056	13.0981093494206	5.08630355250173e-13	1.85293146083681e-11	7.83844933437247e-12	CASP3/F7/RELA/TNF/GSTP1/MMP3/EGFR/BCL2L1/MMP2/COL1A1/NFE2L2/COL3A1/HSF1/CHUK/PCNA	15
BP	GO:0030099	myeloid cell differentiation	24/149	481/18860	0.0498960498960499	6.3157013492584	10.5384353953159	5.55449171744417e-13	2.00589600891701e-11	8.48553471525338e-12	CASP9/CASP3/CASP8/PRKCA/RXRA/PPARG/MAPK14/IL4/TNF/STAT1/ADIPOQ/STAT3/RB1/FOSL2/FOS/MMP9/NFKBIA/HIF1A/MYC/IFNG/PARP1/HSF1/CTNNB1/APP	24
BP	GO:0010212	response to ionizing radiation	15/149	145/18860	0.103448275862069	13.0941911594538	13.045774856224	5.63525771843763e-13	2.01751942281651e-11	8.53470520151761e-12	BCL2/BAX/CASP3/MAPK14/TNF/VCAM1/CCND1/BCL2L1/CDKN1A/TP53/THBD/PARP1/HSF1/CXCL10/MDM2	15
BP	GO:1990748	cellular detoxification	14/149	120/18860	0.116666666666667	14.7673378076063	13.5008080795177	6.48725624125364e-13	2.30269873247234e-11	9.74109821561163e-12	PTGS1/PTGS2/GSTP1/GSTM1/GSTM2/SOD1/CAT/GSR/NOS3/MPO/ABCG2/NFE2L2/NQO1/PTGES	14
BP	GO:0050900	leukocyte migration	22/149	397/18860	0.0554156171284635	7.01435261102564	10.8077918038716	7.0693517298334e-13	2.48805235033882e-11	1.05251989626155e-11	DPP4/F7/AKT1/TNF/HMOX1/ICAM1/SELE/VCAM1/ALOX5/MAPK3/MAPK1/CYP19A1/MMP2/IL10/IL6/IL1B/CCL2/CXCL8/SERPINE1/CXCL11/CXCL10/APP	22
BP	GO:0045429	positive regulation of nitric oxide biosynthetic process	10/149	42/18860	0.238095238095238	30.1374240971556	16.8691435285101	8.27405066790201e-13	2.84918245098029e-11	1.20528863362848e-11	PTGS2/HSP90AA1/ESR1/AKT1/TNF/STAT1/INSR/IL1B/IFNG/APP	10
BP	GO:0002534	cytokine production involved in inflammatory response	13/149	98/18860	0.13265306122449	16.7908505684153	13.9856598324013	8.30125395060475e-13	2.84918245098029e-11	1.20528863362848e-11	PRKCA/NOS2/MAPK14/RELA/IKBKB/TNF/HMOX1/ALOX5/PPARA/STAT3/IL6/NFKBIA/HIF1A	13
BP	GO:1900015	regulation of cytokine production involved in inflammatory response	13/149	98/18860	0.13265306122449	16.7908505684153	13.9856598324013	8.30125395060475e-13	2.84918245098029e-11	1.20528863362848e-11	PRKCA/NOS2/MAPK14/RELA/IKBKB/TNF/HMOX1/ALOX5/PPARA/STAT3/IL6/NFKBIA/HIF1A	13
BP	GO:0032943	mononuclear cell proliferation	20/149	319/18860	0.0626959247648903	7.93587342997202	11.1489479758511	8.89566700122111e-13	3.02817254557961e-11	1.28100674935617e-11	BCL2/BAX/CASP3/IL4/VCAM1/AHR/FOSL2/BCL2L1/CDKN1A/IL10/IL6/TP53/MYC/IL1B/IL2RA/IL1A/IGF2/CD40LG/IRF1/CTNNB1	20
BP	GO:0050729	positive regulation of inflammatory response	16/149	179/18860	0.0893854748603352	11.3141614487646	12.3726960908958	9.01153624888076e-13	3.04267561313836e-11	1.28714197684056e-11	PTGS2/CASP3/CASP8/TNF/MAPK3/MAPK1/LDLR/ABCC1/STAT3/IL6/NFKBIA/IL1B/PTGER3/SERPINE1/IFNG/APP	16
BP	GO:0070555	response to interleukin-1	14/149	123/18860	0.113821138211382	14.407158836689	13.3119981001716	9.16474064031411e-13	3.06944902251811e-11	1.29846792263873e-11	PRKCA/RELA/IKBKB/SELE/HAS2/MAPK3/MMP2/IL6/NFKBIA/HIF1A/IL1B/CCL2/CXCL8/APP	14
BP	GO:0001936	regulation of endothelial cell proliferation	16/149	181/18860	0.0883977900552486	11.1891430902147	12.2914778457977	1.07055481013233e-12	3.55681130118367e-11	1.50463661314599e-11	PRKCA/PPARG/KDR/AKT1/TNF/STAT1/HMOX1/ALOX5/STAT3/IL10/EGF/HIF1A/CAV1/F3/CCL2/IGF2	16
BP	GO:0070663	regulation of leukocyte proliferation	19/149	284/18860	0.0669014084507042	8.4681917005388	11.316248900983	1.09435103294471e-12	3.60701574588839e-11	1.52587458144087e-11	BCL2/CASP3/IL4/VCAM1/GSTP1/AHR/MAPK3/MAPK1/BCL2L1/CDKN1A/IL10/IL6/IL1B/IL2RA/IL1A/IGF2/CD40LG/IRF1/CTNNB1	19
BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion	19/149	289/18860	0.0657439446366782	8.32168319360906	11.1929915180207	1.49104481342685e-12	4.87583394500923e-11	2.06262229060043e-11	DPP4/RELA/IL4/AKT1/TNF/SELE/VCAM1/ALOX5/HAS2/BAD/IL6/CAV1/IL1B/CCL2/IL2RA/IFNG/IL1A/IGF2/CD40LG	19
BP	GO:0032368	regulation of lipid transport	15/149	155/18860	0.0967741935483871	12.2494046330375	12.549328741855	1.50638518632664e-12	4.88751381157384e-11	2.06756322037759e-11	PON1/RXRA/PPARG/AKT1/MAPK3/CYP19A1/PPARA/ADIPOQ/CES1/EGF/NFKBIA/CAV1/IL1B/SPP1/PTGES	15
BP	GO:0006690	icosanoid metabolic process	14/149	128/18860	0.109375	13.8443791946309	13.0115787266012	1.59706612518489e-12	5.14156249449057e-11	2.17503334388705e-11	PTGS1/PTGS2/AKR1B1/LTA4H/NCF1/CYP1A2/CYP1A1/CYP1B1/ALOX5/GSTP1/GSTM1/ABCC1/IL1B/PTGES	14
BP	GO:0071478	cellular response to radiation	16/149	188/18860	0.0851063829787234	10.7725260602599	12.0169514782053	1.92438024043536e-12	6.14765472194464e-11	2.60064017917944e-11	BAX/CASP9/MAPK14/TNF/MMP1/MMP3/BCL2L1/CDKN1A/MMP2/MMP9/TP53/MYC/PARP1/HSF1/MDM2/PCNA	16
BP	GO:0008203	cholesterol metabolic process	15/149	158/18860	0.0949367088607595	12.0168210007646	12.409228321907	1.99541069281523e-12	6.32590886050508e-11	2.67604696368712e-11	PON1/PPARD/IL4/AKT1/CYP3A4/CYP1A2/MAPK1/LDLR/CAT/APOB/HMGCR/SREBF1/SOAT2/CES1/SOAT1	15
BP	GO:0002573	myeloid leukocyte differentiation	18/149	257/18860	0.0700389105058366	8.86532786671193	11.3291118531766	2.07000238793735e-12	6.51266660386652e-11	2.75505102509365e-11	CASP8/PRKCA/RXRA/PPARG/MAPK14/IL4/TNF/ADIPOQ/RB1/FOSL2/FOS/MMP9/MYC/IFNG/PARP1/HSF1/CTNNB1/APP	18
BP	GO:0150077	regulation of neuroinflammatory response	10/149	46/18860	0.217391304347826	27.5167785234899	16.0680462209425	2.2313363216819e-12	6.96747349168791e-11	2.94744782025096e-11	PTGS2/IL4/TNF/MAPK3/MAPK1/LDLR/MMP3/MMP9/IL6/IL1B	10
BP	GO:0006631	fatty acid metabolic process	22/149	421/18860	0.0522565320665083	6.61448452868689	10.3964775540182	2.27360388728758e-12	7.04647533127263e-11	2.98086794020658e-11	PTGS1/PTGS2/AKR1B1/PPARG/MAPK14/PPARD/AKT1/CYP3A4/CYP1A2/CYP1A1/CYP1B1/ALOX5/GSTP1/GSTM1/GSTM2/PPARA/SREBF1/ADIPOQ/CES1/CAV1/IL1B/PTGES	22
BP	GO:0015918	sterol transport	14/149	136/18860	0.102941176470588	13.0300039478879	12.5643455746853	3.69893509905399e-12	1.13790203454602e-10	4.81366290863245e-11	PON1/RXRA/PPARG/MAPK3/LDLR/MTTP/APOB/ADIPOQ/SOAT2/CES1/SOAT1/EGF/NFKBIA/CAV1	14
BP	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	17/149	232/18860	0.0732758620689655	9.2750520712798	11.3171110686967	4.27414726841969e-12	1.30518629454022e-10	5.52132491562884e-11	CASP8/RELA/IKBKB/TNF/HMOX1/INSR/ADIPOQ/STAT3/CAV1/GJA1/IL1B/PRKCB/IL1A/PARP1/CHUK/CD40LG/XIAP	17
BP	GO:1902175	regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	10/149	49/18860	0.204081632653061	25.832077797562	15.5313470286119	4.40848811274898e-12	1.33638329432456e-10	5.65329747228433e-11	AKT1/SOD1/MMP2/IL10/HIF1A/HSPB1/NFE2L2/PARP1/CTNNB1/MCL1	10
BP	GO:0030336	negative regulation of cell migration	21/149	391/18860	0.0537084398976982	6.79826292933281	10.3387624831666	4.47124796602045e-12	1.34558643499152e-10	5.69222948534564e-11	BCL2/PPARG/GSK3B/DPP4/PPARD/IL4/AKT1/TNF/HMOX1/CYP1B1/GSTP1/CYP19A1/ADIPOQ/STAT3/GJA1/CCL2/SERPINE1/NFE2L2/COL3A1/IGFBP3/DRD2	21
